Index,Is Reference,Name,Brightest Detector,ra,dec,t90,Binsize,Distance,Sigma
0,1,GRB120403857,n9,55.34,-89.01,4.288,1.0,0.0,
3,0,GRB180630467,n0,48.96,-87.48,12.032,1.0,3761.0,34.704
2,1,GRB141205018,n8,294.61,-87.58,13.056,1.0,0.0,
6,0,GRB150312403,n3,285.49,-86.0,0.32,0.1,211693.0,647.967
17,0,GRB170130697,n3,296.39,-80.45,29.184,1.0,2762.0,16.119
23,0,GRB220415645,n2,298.38,-79.82,23.04,1.0,1169.0,2.921
3,1,GRB180630467,n0,48.96,-87.48,12.032,1.0,0.0,
12,0,GRB200607921,n0,41.33,-83.33,26.625,1.0,1625.0,6.973
4,1,GRB170116238,n5,72.94,-87.43,9.216,1.0,0.0,
7,0,GRB110520302,na,71.01,-85.93,12.288,1.0,1312.0,6.032
5,1,GRB091026550,n4,276.57,-86.11,8.96,1.0,0.0,
6,0,GRB150312403,n3,285.49,-86.0,0.32,0.1,223513.0,498.193
7,1,GRB110520302,na,71.01,-85.93,12.288,1.0,0.0,
34,0,GRB101024486,n2,66.51,-77.26,20.224,1.0,6662.0,44.249
8,1,GRB121216419,n3,13.88,-85.44,9.216,1.0,0.0,
11,0,GRB220430900,n6,9.01,-83.38,30.464,1.0,1115.0,3.965
29,0,GRB171206122,n2,9.48,-78.2,15.36,1.0,2809.0,19.965
10,1,GRB101227195,n8,186.79,-83.55,95.488,1.0,0.0,
13,0,GRB160326062,n8,188.15,-82.69,19.456,1.0,57991.0,241.599
26,0,GRB080714425,n9,187.5,-74.0,40.192,1.0,23236.0,88.125
11,1,GRB220430900,n6,9.01,-83.38,30.464,1.0,0.0,
27,0,GRB100507577,n9,2.9,-79.01,44.033,1.0,3804.0,21.384
29,0,GRB171206122,n2,9.48,-78.2,15.36,1.0,2950.0,14.417
50,0,GRB170121067,n1,3.03,-75.62,2.304,1.0,1877.0,5.664
12,1,GRB200607921,n0,41.33,-83.33,26.625,1.0,0.0,
16,0,GRB101116481,n0,32.0,-81.2,0.576,0.1,202515.0,1180.203
28,0,GRB200907957,n6,34.5,-78.38,140.803,1.0,26725.0,207.367
13,1,GRB160326062,n8,188.15,-82.69,19.456,1.0,0.0,
26,0,GRB080714425,n9,187.5,-74.0,40.192,1.0,17645.0,153.77
14,1,GRB220413167,n8,249.08,-81.55,0.512,0.1,0.0,
19,0,GRB110825265,n7,251.31,-80.28,48.128,1.0,238889.0,2425.498
31,0,GRB140518709,n8,244.04,-77.86,0.704,0.1,5442.0,41.691
70,0,GRB091117080,n2,246.54,-73.94,113.664,1.0,261726.0,2659.136
84,0,GRB100604287,n9,248.3,-73.19,13.44,1.0,448882.0,4573.866
15,1,GRB190825171,n0,210.86,-74.14,12.032,1.0,0.0,
24,0,GRB181007737,n3,211.22,-79.69,23.552,1.0,13954.0,140.685
25,0,GRB100325246,n6,209.14,-79.1,8.192,1.0,1826.0,11.461
36,0,GRB210919653,n3,215.16,-77.1,1.6,0.1,207428.0,513.712
45,0,GRB180622273,na,201.56,-76.4,13.568,1.0,15347.0,155.527
46,0,GRB160406570,n8,208.48,-76.37,66.56,1.0,21481.0,220.885
127,0,GRB130327350,n1,218.09,-69.51,31.233,1.0,23017.0,237.251
131,0,GRB150902733,n3,214.93,-69.36,13.568,1.0,41522.0,434.423
141,0,GRB171024977,n6,210.53,-68.91,35.072,1.0,1149.0,4.248
152,0,GRB191220589,n4,211.77,-67.51,27.905,1.0,20771.0,213.32
201,0,GRB110411629,n8,210.3,-64.99,23.552,1.0,13831.0,139.374
16,1,GRB101116481,n0,32.0,-81.2,0.576,0.1,0.0,
28,0,GRB200907957,n6,34.5,-78.38,140.803,1.0,252960.0,2988.954
33,0,GRB141004150,n1,30.44,-77.3,9.472,1.0,180931.0,2132.865
53,0,GRB210721978,n6,31.53,-75.22,9.984,1.0,197507.0,2329.876
17,1,GRB170130697,n3,296.39,-80.45,29.184,1.0,0.0,
23,0,GRB220415645,n2,298.38,-79.82,23.04,1.0,2899.0,13.511
69,0,GRB150602840,nb,289.87,-74.21,10.496,1.0,8925.0,59.583
72,0,GRB181103046,n1,295.48,-73.76,11.776,1.0,6370.0,40.049
73,0,GRB110517453,n0,296.09,-73.76,0.576,0.1,194110.0,1223.883
18,1,GRB110205027,n4,359.73,-80.44,5.376,1.0,0.0,
22,0,GRB140323433,n0,356.96,-79.9,111.426,1.0,42614.0,369.528
61,0,GRB190304818,n4,357.74,-74.84,2.88,1.0,2554.0,16.083
104,0,GRB210501205,n9,357.84,-71.3,8.192,1.0,13741.0,114.785
19,1,GRB110825265,n7,251.31,-80.28,48.128,1.0,0.0,
31,0,GRB140518709,n8,244.04,-77.86,0.704,0.1,249440.0,1880.965
70,0,GRB091117080,n2,246.54,-73.94,113.664,1.0,5477.0,23.863
84,0,GRB100604287,n9,248.3,-73.19,13.44,1.0,68198.0,427.31
20,1,GRB160919613,n4,266.15,-80.21,62.465,1.0,0.0,
35,0,GRB200119692,n1,271.04,-77.14,19.2,1.0,16376.0,97.186
49,0,GRB120114433,n0,263.23,-75.64,2.752,1.0,15883.0,93.858
100,0,GRB090802666,nb,267.02,-71.77,27.52,1.0,17605.0,105.481
21,1,GRB120830212,na,337.87,-80.04,16.064,1.0,0.0,
39,0,GRB110716018,n8,329.68,-76.98,7.168,1.0,14213.0,101.437
42,0,GRB190731943,n9,339.94,-76.62,15.872,1.0,24598.0,181.123
77,0,GRB170304003,n1,330.5,-73.76,0.16,0.1,253341.0,708.04
22,1,GRB140323433,n0,356.96,-79.9,111.426,1.0,0.0,
61,0,GRB190304818,n4,357.74,-74.84,2.88,1.0,34459.0,129.922
104,0,GRB210501205,n9,357.84,-71.3,8.192,1.0,16201.0,53.45
23,1,GRB220415645,n2,298.38,-79.82,23.04,1.0,0.0,
72,0,GRB181103046,n1,295.48,-73.76,11.776,1.0,2564.0,12.631
73,0,GRB110517453,n0,296.09,-73.76,0.576,0.1,206622.0,892.866
24,1,GRB181007737,n3,211.22,-79.69,23.552,1.0,0.0,
25,0,GRB100325246,n6,209.14,-79.1,8.192,1.0,6835.0,42.44
36,0,GRB210919653,n3,215.16,-77.1,1.6,0.1,274111.0,1024.677
46,0,GRB160406570,n8,208.48,-76.37,66.56,1.0,2821.0,12.208
25,1,GRB100325246,n6,209.14,-79.1,8.192,1.0,0.0,
36,0,GRB210919653,n3,215.16,-77.1,1.6,0.1,218430.0,323.769
45,0,GRB180622273,na,201.56,-76.4,13.568,1.0,10973.0,107.691
46,0,GRB160406570,n8,208.48,-76.37,66.56,1.0,7471.0,70.962
26,1,GRB080714425,n9,187.5,-74.0,40.192,1.0,0.0,
63,0,GRB121116459,n4,180.88,-74.79,0.832,0.1,256457.0,1478.692
81,0,GRB090304216,n7,195.9,-73.4,2.816,1.0,36726.0,214.334
106,0,GRB130320560,n9,195.54,-71.26,340.992,1.0,29337.0,169.346
143,0,GRB160716144,n9,189.61,-68.04,28.928,1.0,20045.0,112.77
167,0,GRB181128751,n6,182.82,-66.74,17.664,1.0,15299.0,83.874
27,1,GRB100507577,n9,2.9,-79.01,44.033,1.0,0.0,
29,0,GRB171206122,n2,9.48,-78.2,15.36,1.0,6598.0,31.593
50,0,GRB170121067,n1,3.03,-75.62,2.304,1.0,3817.0,14.339
111,0,GRB180801492,n0,3.38,-70.68,7.424,1.0,3744.0,13.886
28,1,GRB200907957,n6,34.5,-78.38,140.803,1.0,0.0,
33,0,GRB141004150,n1,30.44,-77.3,9.472,1.0,23996.0,75.054
53,0,GRB210721978,n6,31.53,-75.22,9.984,1.0,30177.0,98.775
86,0,GRB090922605,nb,38.36,-73.08,52.736,1.0,48467.0,168.968
95,0,GRB090120627,n2,38.1,-72.2,1.856,0.1,264688.0,2912.051
112,0,GRB171212434,n0,39.44,-70.62,32.001,1.0,24148.0,75.637
29,1,GRB171206122,n2,9.48,-78.2,15.36,1.0,0.0,
50,0,GRB170121067,n1,3.03,-75.62,2.304,1.0,2711.0,18.019
71,0,GRB200809654,n8,15.83,-73.85,17.408,1.0,1550.0,6.754
88,0,GRB130425327,na,17.78,-72.85,62.209,1.0,10503.0,93.625
89,0,GRB160325291,n6,15.65,-72.7,42.945,1.0,8639.0,75.539
111,0,GRB180801492,n0,3.38,-70.68,7.424,1.0,2775.0,18.64
30,1,GRB190422284,n8,306.66,-73.01,80.386,1.0,0.0,
65,0,GRB110212550,n7,311.33,-74.5,0.064,0.1,256022.0,2313.994
83,0,GRB160625230,n7,314.53,-73.26,43.265,1.0,38966.0,164.885
126,0,GRB131204937,n9,309.67,-69.67,29.952,1.0,32119.0,133.689
162,0,GRB100719311,n1,304.87,-67.14,1.6,0.1,270432.0,2277.736
181,0,GRB120919816,n7,303.53,-66.16,20.48,1.0,9509.0,30.672
187,0,GRB160303971,n6,302.2,-65.68,27.136,1.0,35888.0,150.861
31,1,GRB140518709,n8,244.04,-77.86,0.704,0.1,0.0,
40,0,GRB220315101,n6,236.09,-76.82,0.768,0.1,2516.0,9.727
59,0,GRB100112418,n3,240.14,-75.1,23.04,1.0,199271.0,2442.83
70,0,GRB091117080,n2,246.54,-73.94,113.664,1.0,272413.0,3346.629
84,0,GRB100604287,n9,248.3,-73.19,13.44,1.0,461503.0,5683.171
96,0,GRB141022061,n7,241.9,-72.13,11.52,1.0,164291.0,2010.59
118,0,GRB191111547,n3,239.41,-70.42,158.212,1.0,220562.0,2705.918
124,0,GRB120107384,n7,246.4,-69.93,23.04,1.0,204624.0,2508.976
32,1,GRB130623488,n3,20.72,-77.78,22.272,1.0,0.0,
33,0,GRB141004150,n1,30.44,-77.3,9.472,1.0,3490.0,17.783
71,0,GRB200809654,n8,15.83,-73.85,17.408,1.0,2718.0,12.094
88,0,GRB130425327,na,17.78,-72.85,62.209,1.0,9172.0,59.655
89,0,GRB160325291,n6,15.65,-72.7,42.945,1.0,8702.0,56.191
33,1,GRB141004150,n1,30.44,-77.3,9.472,1.0,0.0,
53,0,GRB210721978,n6,31.53,-75.22,9.984,1.0,4215.0,32.38
86,0,GRB090922605,nb,38.36,-73.08,52.736,1.0,5651.0,45.793
95,0,GRB090120627,n2,38.1,-72.2,1.856,0.1,190800.0,347.968
34,1,GRB101024486,n2,66.51,-77.26,20.224,1.0,0.0,
37,0,GRB210826293,n9,64.63,-77.07,19.712,1.0,11148.0,70.584
48,0,GRB161020759,n4,66.09,-75.65,24.32,1.0,16810.0,110.73
90,0,GRB091102607,n2,72.62,-72.52,6.656,1.0,15599.0,102.143
97,0,GRB170113420,nb,61.73,-71.93,49.152,1.0,33536.0,229.324
136,0,GRB130218261,na,69.31,-69.13,37.121,1.0,11669.0,74.278
35,1,GRB200119692,n1,271.04,-77.14,19.2,1.0,0.0,
47,0,GRB130804023,n6,280.03,-76.15,0.96,0.1,235979.0,821.837
49,0,GRB120114433,n0,263.23,-75.64,2.752,1.0,2893.0,14.53
100,0,GRB090802666,nb,267.02,-71.77,27.52,1.0,2125.0,8.383
148,0,GRB180906759,n6,270.12,-67.67,13.309,1.0,3388.0,18.491
149,0,GRB100605774,n6,273.43,-67.6,8.192,1.0,3568.0,19.932
36,1,GRB210919653,n3,215.16,-77.1,1.6,0.1,0.0,
46,0,GRB160406570,n8,208.48,-76.37,66.56,1.0,267645.0,3936.616
91,0,GRB100926595,n4,222.75,-72.35,32.256,1.0,205889.0,3023.168
98,0,GRB120827216,n2,222.74,-71.89,5.056,1.0,214751.0,3154.248
127,0,GRB130327350,n1,218.09,-69.51,31.233,1.0,225552.0,3314.008
131,0,GRB150902733,n3,214.93,-69.36,13.568,1.0,283691.0,4173.957
141,0,GRB171024977,n6,210.53,-68.91,35.072,1.0,211275.0,3102.833
